subject;predicate;object
R01;has-business-asset;BV01
R01;has-feared-event;DE01
R01;has-severity;SEV01
R01;has-risk-source;RS01
R01;has-strategic-scenario;SS01
R01;has-operational-scenario;OS01
R01;has-likelihood;LH02
R02;has-business-asset;BV01
R02;has-feared-event;DE02
R02;has-severity;SEV02
R02;has-risk-source;RS02
R02;has-strategic-scenario;SS02
R02;has-operational-scenario;OS02
R02;has-likelihood;LH03
R03;has-business-asset;BV01
R03;has-feared-event;DE03
R03;has-severity;SEV03
R03;has-risk-source;RS03
R03;has-strategic-scenario;SS01
R03;has-operational-scenario;OS03
R03;has-likelihood;LH01
R04;has-business-asset;BV02
R04;has-feared-event;DE01
R04;has-severity;SEV04
R04;has-risk-source;RS04
R04;has-strategic-scenario;SS01
R04;has-operational-scenario;OS04
R04;has-likelihood;LH02
R05;has-business-asset;BV02
R05;has-feared-event;DE02
R05;has-severity;SEV05
R05;has-risk-source;RS05
R05;has-strategic-scenario;SS01
R05;has-operational-scenario;OS05
R05;has-likelihood;LH02
R06;has-business-asset;BV02
R06;has-feared-event;DE03
R06;has-severity;SEV06
R06;has-risk-source;RS06
R06;has-strategic-scenario;SS01
R06;has-operational-scenario;OS06
R06;has-likelihood;LH01
R07;has-business-asset;BV03
R07;has-feared-event;DE01
R07;has-severity;SEV01
R07;has-risk-source;RS07
R07;has-strategic-scenario;SS01
R07;has-operational-scenario;OS07
R07;has-likelihood;LH03
R08;has-business-asset;BV03
R08;has-feared-event;DE02
R08;has-severity;SEV07
R08;has-risk-source;RS08
R08;has-strategic-scenario;SS03
R08;has-operational-scenario;OS08
R08;has-likelihood;LH04
R09;has-business-asset;BV03
R09;has-feared-event;DE03
R09;has-severity;SEV08
R09;has-risk-source;RS09
R09;has-strategic-scenario;SS01
R09;has-operational-scenario;OS09
R09;has-likelihood;LH03
R10;has-business-asset;BV04
R10;has-feared-event;DE01
R10;has-severity;SEV01
R10;has-risk-source;RS10
R10;has-strategic-scenario;SS01
R10;has-operational-scenario;OS10
R10;has-likelihood;LH02
R11;has-business-asset;BV04
R11;has-feared-event;DE02
R11;has-severity;SEV09
R11;has-risk-source;RS08
R11;has-strategic-scenario;SS01
R11;has-operational-scenario;OS11
R11;has-likelihood;LH02
R12;has-business-asset;BV04
R12;has-feared-event;DE03
R12;has-severity;SEV06
R12;has-risk-source;RS11
R12;has-strategic-scenario;SS01
R12;has-operational-scenario;OS12
R12;has-likelihood;LH03
R13;has-business-asset;BV05
R13;has-feared-event;DE01
R13;has-severity;SEV01
R13;has-risk-source;RS01
R13;has-strategic-scenario;SS01
R13;has-operational-scenario;OS07
R13;has-likelihood;LH03
R14;has-business-asset;BV05
R14;has-feared-event;DE02
R14;has-severity;SEV07
R14;has-risk-source;RS08
R14;has-strategic-scenario;SS01
R14;has-operational-scenario;OS13
R14;has-likelihood;LH02
R15;has-business-asset;BV05
R15;has-feared-event;DE03
R15;has-severity;SEV07
R15;has-risk-source;RS08
R15;has-strategic-scenario;SS01
R15;has-operational-scenario;OS14
R15;has-likelihood;LH02
R10;RS10
R10;SS01
R10;OS10
R10;LH02
R11;BV04
R11;DE02
R11;SEV09
R11;RS08
R11;SS01
R11;OS11
R11;LH02
R12;BV04
R12;DE03
R12;SEV06
R12;RS11
R12;SS01
R12;OS12
R12;LH03
R13;BV05
R13;DE01
R13;SEV01
R13;RS01
R13;SS01
R13;OS07
R13;LH03
R14;BV05
R14;DE02
R14;SEV07
R14;RS08
R14;SS01
R14;OS13
R14;LH02
R15;BV05
R15;DE03
R15;SEV07
R15;RS08
R15;SS01
R15;OS14
R15;LH02
